part_number,functional_id,product_line,forecast_month,months_of_history,months_since_sub,in_transition_window,forecast,actual,abs_error,pct_error,fit_status,arima_order,aic
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-11-01,10,11.0,False,,113,,,insufficient_history,N/A,
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-12-01,10,12.0,False,,104,,,insufficient_history,N/A,
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-10-01,13,13.0,False,,221,,,insufficient_history,N/A,
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-11-01,13,14.0,False,,209,,,insufficient_history,N/A,
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-12-01,13,15.0,False,,239,,,insufficient_history,N/A,
AL03-8140-AF,FID-AL-03,PL-Alpha,2023-06-01,17,,False,,213,,,insufficient_history,N/A,
AL03-8140-AF,FID-AL-03,PL-Alpha,2023-07-01,17,,False,,144,,,insufficient_history,N/A,
AL03-8140-AF,FID-AL-03,PL-Alpha,2023-08-01,17,,False,,203,,,insufficient_history,N/A,
AL04-2481-FP,FID-AL-04,PL-Alpha,2024-04-01,27,,False,185.0,193,8.0,4.145077720207254,fitted,"(0,1,0)",191.22309953177836
AL04-2481-FP,FID-AL-04,PL-Alpha,2024-05-01,27,,False,185.0,273,88.0,32.234432234432234,fitted,"(0,1,0)",191.22309953177836
AL04-2481-FP,FID-AL-04,PL-Alpha,2024-06-01,27,,False,185.0,192,7.0,3.6458333333333335,fitted,"(0,1,0)",191.22309953177836
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-10-01,3,3.0,True,,230,,,insufficient_history,N/A,
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-11-01,3,4.0,True,,216,,,insufficient_history,N/A,
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-12-01,3,5.0,True,,220,,,insufficient_history,N/A,
AL05-1727-US,FID-AL-05,PL-Alpha,2022-05-01,4,,False,,69,,,insufficient_history,N/A,
AL05-1727-US,FID-AL-05,PL-Alpha,2022-06-01,4,,False,,63,,,insufficient_history,N/A,
AL05-1727-US,FID-AL-05,PL-Alpha,2022-07-01,4,,False,,78,,,insufficient_history,N/A,
AL05-4577-IE,FID-AL-05,PL-Alpha,2023-05-01,9,9.0,False,,82,,,insufficient_history,N/A,
AL05-4577-IE,FID-AL-05,PL-Alpha,2023-06-01,9,10.0,False,,56,,,insufficient_history,N/A,
AL05-4577-IE,FID-AL-05,PL-Alpha,2023-07-01,9,11.0,False,,58,,,insufficient_history,N/A,
AL05-9757-YI,FID-AL-05,PL-Alpha,2024-10-01,14,14.0,False,,76,,,insufficient_history,N/A,
AL05-9757-YI,FID-AL-05,PL-Alpha,2024-11-01,14,15.0,False,,54,,,insufficient_history,N/A,
AL05-9757-YI,FID-AL-05,PL-Alpha,2024-12-01,14,16.0,False,,67,,,insufficient_history,N/A,
AL06-2382-US,FID-AL-06,PL-Alpha,2024-10-01,13,13.0,False,,104,,,insufficient_history,N/A,
AL06-2382-US,FID-AL-06,PL-Alpha,2024-11-01,13,14.0,False,,116,,,insufficient_history,N/A,
AL06-2382-US,FID-AL-06,PL-Alpha,2024-12-01,13,15.0,False,,133,,,insufficient_history,N/A,
AL06-3562-CC,FID-AL-06,PL-Alpha,2022-06-01,5,,False,,109,,,insufficient_history,N/A,
AL06-3562-CC,FID-AL-06,PL-Alpha,2022-07-01,5,,False,,145,,,insufficient_history,N/A,
AL06-3562-CC,FID-AL-06,PL-Alpha,2022-08-01,5,,False,,135,,,insufficient_history,N/A,
AL06-6196-WP,FID-AL-06,PL-Alpha,2023-06-01,9,9.0,False,,109,,,insufficient_history,N/A,
AL06-6196-WP,FID-AL-06,PL-Alpha,2023-07-01,9,10.0,False,,96,,,insufficient_history,N/A,
AL06-6196-WP,FID-AL-06,PL-Alpha,2023-08-01,9,11.0,False,,104,,,insufficient_history,N/A,
AL07-4297-JO,FID-AL-07,PL-Alpha,2024-10-01,23,23.0,False,118.0,107,11.0,10.2803738317757,fitted,"(0,1,0)",148.4808536593837
AL07-4297-JO,FID-AL-07,PL-Alpha,2024-11-01,23,24.0,False,118.0,83,35.0,42.168674698795186,fitted,"(0,1,0)",148.4808536593837
AL07-4297-JO,FID-AL-07,PL-Alpha,2024-12-01,23,25.0,False,118.0,119,1.0,0.8403361344537815,fitted,"(0,1,0)",148.4808536593837
AL07-5544-NZ,FID-AL-07,PL-Alpha,2022-08-01,7,,False,,118,,,insufficient_history,N/A,
AL07-5544-NZ,FID-AL-07,PL-Alpha,2022-09-01,7,,False,,111,,,insufficient_history,N/A,
AL07-5544-NZ,FID-AL-07,PL-Alpha,2022-10-01,7,,False,,148,,,insufficient_history,N/A,
AL08-2252-WP,FID-AL-08,PL-Alpha,2024-05-01,11,11.0,False,,65,,,insufficient_history,N/A,
AL08-2252-WP,FID-AL-08,PL-Alpha,2024-06-01,11,12.0,False,,75,,,insufficient_history,N/A,
AL08-2252-WP,FID-AL-08,PL-Alpha,2024-07-01,11,13.0,False,,84,,,insufficient_history,N/A,
AL08-6395-VQ,FID-AL-08,PL-Alpha,2023-03-01,14,,False,,85,,,insufficient_history,N/A,
AL08-6395-VQ,FID-AL-08,PL-Alpha,2023-04-01,14,,False,,80,,,insufficient_history,N/A,
AL08-6395-VQ,FID-AL-08,PL-Alpha,2023-05-01,14,,False,,92,,,insufficient_history,N/A,
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-10-01,2,2.0,True,,75,,,insufficient_history,N/A,
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-11-01,2,3.0,True,,73,,,insufficient_history,N/A,
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-12-01,2,4.0,True,,76,,,insufficient_history,N/A,
AL09-1397-FH,FID-AL-09,PL-Alpha,2022-05-01,4,,False,,166,,,insufficient_history,N/A,
AL09-1397-FH,FID-AL-09,PL-Alpha,2022-06-01,4,,False,,166,,,insufficient_history,N/A,
AL09-1397-FH,FID-AL-09,PL-Alpha,2022-07-01,4,,False,,139,,,insufficient_history,N/A,
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-10-01,9,9.0,False,,141,,,insufficient_history,N/A,
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-11-01,9,10.0,False,,171,,,insufficient_history,N/A,
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-12-01,9,11.0,False,,173,,,insufficient_history,N/A,
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-10-01,3,3.0,True,,180,,,insufficient_history,N/A,
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-11-01,3,4.0,True,,173,,,insufficient_history,N/A,
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-12-01,3,5.0,True,,216,,,insufficient_history,N/A,
AL09-8911-CG,FID-AL-09,PL-Alpha,2023-04-01,8,8.0,False,,140,,,insufficient_history,N/A,
AL09-8911-CG,FID-AL-09,PL-Alpha,2023-05-01,8,9.0,False,,165,,,insufficient_history,N/A,
AL09-8911-CG,FID-AL-09,PL-Alpha,2023-06-01,8,10.0,False,,180,,,insufficient_history,N/A,
AL10-1825-JF,FID-AL-10,PL-Alpha,2023-01-01,12,,False,,40,,,insufficient_history,N/A,
AL10-1825-JF,FID-AL-10,PL-Alpha,2023-02-01,12,,False,,30,,,insufficient_history,N/A,
AL10-1825-JF,FID-AL-10,PL-Alpha,2023-03-01,12,,False,,26,,,insufficient_history,N/A,
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-05-01,5,5.0,True,,42,,,insufficient_history,N/A,
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-06-01,5,6.0,True,,48,,,insufficient_history,N/A,
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-07-01,5,7.0,False,,53,,,insufficient_history,N/A,
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-10-01,2,2.0,True,,42,,,insufficient_history,N/A,
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-11-01,2,3.0,True,,49,,,insufficient_history,N/A,
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-12-01,2,4.0,True,,47,,,insufficient_history,N/A,
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-09-01,5,5.0,True,,46,,,insufficient_history,N/A,
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-10-01,5,6.0,True,,40,,,insufficient_history,N/A,
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-11-01,5,7.0,False,,47,,,insufficient_history,N/A,
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-10-01,3,3.0,True,,164,,,insufficient_history,N/A,
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-11-01,3,4.0,True,,128,,,insufficient_history,N/A,
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-12-01,3,5.0,True,,148,,,insufficient_history,N/A,
AL11-7629-ZQ,FID-AL-11,PL-Alpha,2024-04-01,14,14.0,False,,146,,,insufficient_history,N/A,
AL11-7629-ZQ,FID-AL-11,PL-Alpha,2024-05-01,14,15.0,False,,134,,,insufficient_history,N/A,
AL11-7629-ZQ,FID-AL-11,PL-Alpha,2024-06-01,14,16.0,False,,137,,,insufficient_history,N/A,
AL11-8273-EJ,FID-AL-11,PL-Alpha,2022-11-01,10,,False,,158,,,insufficient_history,N/A,
AL11-8273-EJ,FID-AL-11,PL-Alpha,2022-12-01,10,,False,,125,,,insufficient_history,N/A,
AL11-8273-EJ,FID-AL-11,PL-Alpha,2023-01-01,10,,False,,163,,,insufficient_history,N/A,
AL12-3957-FA,FID-AL-12,PL-Alpha,2024-10-01,17,17.0,False,,193,,,insufficient_history,N/A,
AL12-3957-FA,FID-AL-12,PL-Alpha,2024-11-01,17,18.0,False,,256,,,insufficient_history,N/A,
AL12-3957-FA,FID-AL-12,PL-Alpha,2024-12-01,17,19.0,False,,215,,,insufficient_history,N/A,
AL12-4532-VU,FID-AL-12,PL-Alpha,2023-02-01,13,,False,,223,,,insufficient_history,N/A,
AL12-4532-VU,FID-AL-12,PL-Alpha,2023-03-01,13,,False,,179,,,insufficient_history,N/A,
AL12-4532-VU,FID-AL-12,PL-Alpha,2023-04-01,13,,False,,158,,,insufficient_history,N/A,
BE01-2281-WI,FID-BE-01,PL-Beta,2024-10-01,4,4.0,True,,225,,,insufficient_history,N/A,
BE01-2281-WI,FID-BE-01,PL-Beta,2024-11-01,4,5.0,True,,222,,,insufficient_history,N/A,
BE01-2281-WI,FID-BE-01,PL-Beta,2024-12-01,4,6.0,True,,200,,,insufficient_history,N/A,
BE01-3767-FY,FID-BE-01,PL-Beta,2024-03-01,3,3.0,True,,169,,,insufficient_history,N/A,
BE01-3767-FY,FID-BE-01,PL-Beta,2024-04-01,3,4.0,True,,164,,,insufficient_history,N/A,
BE01-3767-FY,FID-BE-01,PL-Beta,2024-05-01,3,5.0,True,,174,,,insufficient_history,N/A,
BE01-4781-IG,FID-BE-01,PL-Beta,2023-09-01,20,,False,198.0,203,5.0,2.4630541871921183,fitted,"(0,1,0)",143.23647339832698
BE01-4781-IG,FID-BE-01,PL-Beta,2023-10-01,20,,False,198.0,198,0.0,0.0,fitted,"(0,1,0)",143.23647339832698
BE01-4781-IG,FID-BE-01,PL-Beta,2023-11-01,20,,False,198.0,243,45.0,18.51851851851852,fitted,"(0,1,0)",143.23647339832698
BE02-6912-XL,FID-BE-02,PL-Beta,2024-10-01,8,8.0,False,,12,,,insufficient_history,N/A,
BE02-6912-XL,FID-BE-02,PL-Beta,2024-11-01,8,9.0,False,,9,,,insufficient_history,N/A,
BE02-6912-XL,FID-BE-02,PL-Beta,2024-12-01,8,10.0,False,,11,,,insufficient_history,N/A,
BE02-7418-RK,FID-BE-02,PL-Beta,2023-11-01,22,,False,12.0,11,1.0,9.090909090909092,fitted,"(0,1,0)",51.518839131009365
BE02-7418-RK,FID-BE-02,PL-Beta,2023-12-01,22,,False,12.0,8,4.0,50.0,fitted,"(0,1,0)",51.518839131009365
BE02-7418-RK,FID-BE-02,PL-Beta,2024-01-01,22,,False,12.0,16,4.0,25.0,fitted,"(0,1,0)",51.518839131009365
BE03-3716-GG,FID-BE-03,PL-Beta,2022-07-01,6,,False,,18,,,insufficient_history,N/A,
BE03-3716-GG,FID-BE-03,PL-Beta,2022-08-01,6,,False,,17,,,insufficient_history,N/A,
BE03-3716-GG,FID-BE-03,PL-Beta,2022-09-01,6,,False,,18,,,insufficient_history,N/A,
BE03-5079-OG,FID-BE-03,PL-Beta,2023-05-01,7,7.0,False,,26,,,insufficient_history,N/A,
BE03-5079-OG,FID-BE-03,PL-Beta,2023-06-01,7,8.0,False,,28,,,insufficient_history,N/A,
BE03-5079-OG,FID-BE-03,PL-Beta,2023-07-01,7,9.0,False,,29,,,insufficient_history,N/A,
BE03-9667-PX,FID-BE-03,PL-Beta,2024-10-01,14,14.0,False,,44,,,insufficient_history,N/A,
BE03-9667-PX,FID-BE-03,PL-Beta,2024-11-01,14,15.0,False,,48,,,insufficient_history,N/A,
BE03-9667-PX,FID-BE-03,PL-Beta,2024-12-01,14,16.0,False,,44,,,insufficient_history,N/A,
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-04-01,4,4.0,True,,79,,,insufficient_history,N/A,
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-05-01,4,5.0,True,,73,,,insufficient_history,N/A,
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-06-01,4,6.0,True,,84,,,insufficient_history,N/A,
BE04-1458-CB,FID-BE-04,PL-Beta,2024-10-01,15,15.0,False,,49,,,insufficient_history,N/A,
BE04-1458-CB,FID-BE-04,PL-Beta,2024-11-01,15,16.0,False,,64,,,insufficient_history,N/A,
BE04-1458-CB,FID-BE-04,PL-Beta,2024-12-01,15,17.0,False,,65,,,insufficient_history,N/A,
BE04-3812-KF,FID-BE-04,PL-Beta,2022-09-01,8,,False,,78,,,insufficient_history,N/A,
BE04-3812-KF,FID-BE-04,PL-Beta,2022-10-01,8,,False,,67,,,insufficient_history,N/A,
BE04-3812-KF,FID-BE-04,PL-Beta,2022-11-01,8,,False,,60,,,insufficient_history,N/A,
BE05-2464-ZN,FID-BE-05,PL-Beta,2024-10-01,7,7.0,False,,151,,,insufficient_history,N/A,
BE05-2464-ZN,FID-BE-05,PL-Beta,2024-11-01,7,8.0,False,,154,,,insufficient_history,N/A,
BE05-2464-ZN,FID-BE-05,PL-Beta,2024-12-01,7,9.0,False,,111,,,insufficient_history,N/A,
BE05-5119-BJ,FID-BE-05,PL-Beta,2023-12-01,6,6.0,True,,140,,,insufficient_history,N/A,
BE05-5119-BJ,FID-BE-05,PL-Beta,2024-01-01,6,7.0,False,,164,,,insufficient_history,N/A,
BE05-5119-BJ,FID-BE-05,PL-Beta,2024-02-01,6,8.0,False,,142,,,insufficient_history,N/A,
BE05-5798-CQ,FID-BE-05,PL-Beta,2022-02-01,1,,False,,127,,,insufficient_history,N/A,
BE05-5798-CQ,FID-BE-05,PL-Beta,2022-03-01,1,,False,,144,,,insufficient_history,N/A,
BE05-5798-CQ,FID-BE-05,PL-Beta,2022-04-01,1,,False,,131,,,insufficient_history,N/A,
BE05-6571-UK,FID-BE-05,PL-Beta,2023-03-01,10,10.0,False,,153,,,insufficient_history,N/A,
BE05-6571-UK,FID-BE-05,PL-Beta,2023-04-01,10,11.0,False,,86,,,insufficient_history,N/A,
BE05-6571-UK,FID-BE-05,PL-Beta,2023-05-01,10,12.0,False,,102,,,insufficient_history,N/A,
BE06-1454-ZW,FID-BE-06,PL-Beta,2023-10-01,21,,False,173.0,178,5.0,2.8089887640449436,fitted,"(0,1,0)",155.17375136616235
BE06-1454-ZW,FID-BE-06,PL-Beta,2023-11-01,21,,False,173.0,145,28.0,19.310344827586206,fitted,"(0,1,0)",155.17375136616235
BE06-1454-ZW,FID-BE-06,PL-Beta,2023-12-01,21,,False,173.0,183,10.0,5.46448087431694,fitted,"(0,1,0)",155.17375136616235
BE06-5024-AS,FID-BE-06,PL-Beta,2024-10-01,9,9.0,False,,168,,,insufficient_history,N/A,
BE06-5024-AS,FID-BE-06,PL-Beta,2024-11-01,9,10.0,False,,145,,,insufficient_history,N/A,
BE06-5024-AS,FID-BE-06,PL-Beta,2024-12-01,9,11.0,False,,169,,,insufficient_history,N/A,
BE07-7294-RN,FID-BE-07,PL-Beta,2022-04-01,3,,False,,35,,,insufficient_history,N/A,
BE07-7294-RN,FID-BE-07,PL-Beta,2022-05-01,3,,False,,31,,,insufficient_history,N/A,
BE07-7294-RN,FID-BE-07,PL-Beta,2022-06-01,3,,False,,29,,,insufficient_history,N/A,
BE07-8749-CL,FID-BE-07,PL-Beta,2024-10-01,8,8.0,False,,21,,,insufficient_history,N/A,
BE07-8749-CL,FID-BE-07,PL-Beta,2024-11-01,8,9.0,False,,37,,,insufficient_history,N/A,
BE07-8749-CL,FID-BE-07,PL-Beta,2024-12-01,8,10.0,False,,43,,,insufficient_history,N/A,
BE07-8789-GQ,FID-BE-07,PL-Beta,2023-11-01,16,16.0,False,,36,,,insufficient_history,N/A,
BE07-8789-GQ,FID-BE-07,PL-Beta,2023-12-01,16,17.0,False,,29,,,insufficient_history,N/A,
BE07-8789-GQ,FID-BE-07,PL-Beta,2024-01-01,16,18.0,False,,40,,,insufficient_history,N/A,
BE08-3652-LY,FID-BE-08,PL-Beta,2022-05-01,4,,False,,31,,,insufficient_history,N/A,
BE08-3652-LY,FID-BE-08,PL-Beta,2022-06-01,4,,False,,43,,,insufficient_history,N/A,
BE08-3652-LY,FID-BE-08,PL-Beta,2022-07-01,4,,False,,33,,,insufficient_history,N/A,
BE08-3813-WG,FID-BE-08,PL-Beta,2024-10-01,26,26.0,False,29.0,21,8.0,38.095238095238095,fitted,"(0,1,0)",103.66230138106563
BE08-3813-WG,FID-BE-08,PL-Beta,2024-11-01,26,27.0,False,29.0,20,9.0,45.0,fitted,"(0,1,0)",103.66230138106563
BE08-3813-WG,FID-BE-08,PL-Beta,2024-12-01,26,28.0,False,29.0,29,0.0,0.0,fitted,"(0,1,0)",103.66230138106563
BE09-2451-XW,FID-BE-09,PL-Beta,2024-10-01,23,23.0,False,111.0,114,3.0,2.631578947368421,fitted,"(0,1,0)",132.79855420663532
BE09-2451-XW,FID-BE-09,PL-Beta,2024-11-01,23,24.0,False,111.0,106,5.0,4.716981132075472,fitted,"(0,1,0)",132.79855420663532
BE09-2451-XW,FID-BE-09,PL-Beta,2024-12-01,23,25.0,False,111.0,116,5.0,4.310344827586207,fitted,"(0,1,0)",132.79855420663532
BE09-3664-NE,FID-BE-09,PL-Beta,2022-08-01,7,,False,,66,,,insufficient_history,N/A,
BE09-3664-NE,FID-BE-09,PL-Beta,2022-09-01,7,,False,,69,,,insufficient_history,N/A,
BE09-3664-NE,FID-BE-09,PL-Beta,2022-10-01,7,,False,,72,,,insufficient_history,N/A,
BE10-1020-HQ,FID-BE-10,PL-Beta,2022-10-01,9,,False,,206,,,insufficient_history,N/A,
BE10-1020-HQ,FID-BE-10,PL-Beta,2022-11-01,9,,False,,156,,,insufficient_history,N/A,
BE10-1020-HQ,FID-BE-10,PL-Beta,2022-12-01,9,,False,,187,,,insufficient_history,N/A,
BE10-5973-PD,FID-BE-10,PL-Beta,2024-10-01,21,21.0,False,189.0,201,12.0,5.970149253731343,fitted,"(0,1,0)",166.4049934244336
BE10-5973-PD,FID-BE-10,PL-Beta,2024-11-01,21,22.0,False,189.0,235,46.0,19.574468085106382,fitted,"(0,1,0)",166.4049934244336
BE10-5973-PD,FID-BE-10,PL-Beta,2024-12-01,21,23.0,False,189.0,193,4.0,2.072538860103627,fitted,"(0,1,0)",166.4049934244336
BE11-2181-TO,FID-BE-11,PL-Beta,2023-08-01,19,,False,,58,,,insufficient_history,N/A,
BE11-2181-TO,FID-BE-11,PL-Beta,2023-09-01,19,,False,,71,,,insufficient_history,N/A,
BE11-2181-TO,FID-BE-11,PL-Beta,2023-10-01,19,,False,,77,,,insufficient_history,N/A,
BE11-6899-UN,FID-BE-11,PL-Beta,2024-10-01,11,11.0,False,,69,,,insufficient_history,N/A,
BE11-6899-UN,FID-BE-11,PL-Beta,2024-11-01,11,12.0,False,,63,,,insufficient_history,N/A,
BE11-6899-UN,FID-BE-11,PL-Beta,2024-12-01,11,13.0,False,,66,,,insufficient_history,N/A,
BE12-1188-AY,FID-BE-12,PL-Beta,2024-10-01,3,3.0,True,,125,,,insufficient_history,N/A,
BE12-1188-AY,FID-BE-12,PL-Beta,2024-11-01,3,4.0,True,,147,,,insufficient_history,N/A,
BE12-1188-AY,FID-BE-12,PL-Beta,2024-12-01,3,5.0,True,,117,,,insufficient_history,N/A,
BE12-9802-AI,FID-BE-12,PL-Beta,2024-04-01,27,,False,150.0,117,33.0,28.205128205128204,fitted,"(0,1,0)",175.7356640459605
BE12-9802-AI,FID-BE-12,PL-Beta,2024-05-01,27,,False,150.0,156,6.0,3.8461538461538463,fitted,"(0,1,0)",175.7356640459605
BE12-9802-AI,FID-BE-12,PL-Beta,2024-06-01,27,,False,150.0,150,0.0,0.0,fitted,"(0,1,0)",175.7356640459605
DE01-4534-GY,FID-DE-01,PL-Delta,2022-07-01,6,,False,,139,,,insufficient_history,N/A,
DE01-4534-GY,FID-DE-01,PL-Delta,2022-08-01,6,,False,,165,,,insufficient_history,N/A,
DE01-4534-GY,FID-DE-01,PL-Delta,2022-09-01,6,,False,,167,,,insufficient_history,N/A,
DE01-9255-LW,FID-DE-01,PL-Delta,2024-10-01,24,24.0,False,138.0,170,32.0,18.823529411764707,fitted,"(0,1,0)",170.18360554333316
DE01-9255-LW,FID-DE-01,PL-Delta,2024-11-01,24,25.0,False,138.0,157,19.0,12.101910828025478,fitted,"(0,1,0)",170.18360554333316
DE01-9255-LW,FID-DE-01,PL-Delta,2024-12-01,24,26.0,False,138.0,174,36.0,20.689655172413794,fitted,"(0,1,0)",170.18360554333316
DE02-3556-OB,FID-DE-02,PL-Delta,2023-01-01,12,,False,,146,,,insufficient_history,N/A,
DE02-3556-OB,FID-DE-02,PL-Delta,2023-02-01,12,,False,,189,,,insufficient_history,N/A,
DE02-3556-OB,FID-DE-02,PL-Delta,2023-03-01,12,,False,,134,,,insufficient_history,N/A,
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-07-01,3,3.0,True,,167,,,insufficient_history,N/A,
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-08-01,3,4.0,True,,154,,,insufficient_history,N/A,
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-09-01,3,5.0,True,,159,,,insufficient_history,N/A,
DE02-8089-ZY,FID-DE-02,PL-Delta,2024-10-01,12,12.0,False,,218,,,insufficient_history,N/A,
DE02-8089-ZY,FID-DE-02,PL-Delta,2024-11-01,12,13.0,False,,203,,,insufficient_history,N/A,
DE02-8089-ZY,FID-DE-02,PL-Delta,2024-12-01,12,14.0,False,,154,,,insufficient_history,N/A,
DE03-6206-MF,FID-DE-03,PL-Delta,2024-10-01,20,20.0,False,163.0,178,15.0,8.426966292134832,fitted,"(0,1,0)",144.9578154986747
DE03-6206-MF,FID-DE-03,PL-Delta,2024-11-01,20,21.0,False,163.0,157,6.0,3.821656050955414,fitted,"(0,1,0)",144.9578154986747
DE03-6206-MF,FID-DE-03,PL-Delta,2024-12-01,20,22.0,False,163.0,150,13.0,8.666666666666668,fitted,"(0,1,0)",144.9578154986747
DE03-9741-WE,FID-DE-03,PL-Delta,2022-11-01,10,,False,,148,,,insufficient_history,N/A,
DE03-9741-WE,FID-DE-03,PL-Delta,2022-12-01,10,,False,,127,,,insufficient_history,N/A,
DE03-9741-WE,FID-DE-03,PL-Delta,2023-01-01,10,,False,,175,,,insufficient_history,N/A,
DE04-5006-JZ,FID-DE-04,PL-Delta,2024-10-01,23,23.0,False,32.0,33,1.0,3.0303030303030303,fitted,"(0,1,0)",97.71227503355253
DE04-5006-JZ,FID-DE-04,PL-Delta,2024-11-01,23,24.0,False,32.0,32,0.0,0.0,fitted,"(0,1,0)",97.71227503355253
DE04-5006-JZ,FID-DE-04,PL-Delta,2024-12-01,23,25.0,False,32.0,33,1.0,3.0303030303030303,fitted,"(0,1,0)",97.71227503355253
DE04-6596-KB,FID-DE-04,PL-Delta,2022-08-01,7,,False,,37,,,insufficient_history,N/A,
DE04-6596-KB,FID-DE-04,PL-Delta,2022-09-01,7,,False,,31,,,insufficient_history,N/A,
DE04-6596-KB,FID-DE-04,PL-Delta,2022-10-01,7,,False,,33,,,insufficient_history,N/A,
DE05-2506-LK,FID-DE-05,PL-Delta,2024-10-01,3,3.0,True,,54,,,insufficient_history,N/A,
DE05-2506-LK,FID-DE-05,PL-Delta,2024-11-01,3,4.0,True,,54,,,insufficient_history,N/A,
DE05-2506-LK,FID-DE-05,PL-Delta,2024-12-01,3,5.0,True,,56,,,insufficient_history,N/A,
DE05-9700-GU,FID-DE-05,PL-Delta,2024-04-01,27,,False,54.0,58,4.0,6.896551724137931,fitted,"(0,1,0)",136.09261335370462
DE05-9700-GU,FID-DE-05,PL-Delta,2024-05-01,27,,False,54.0,43,11.0,25.581395348837212,fitted,"(0,1,0)",136.09261335370462
DE05-9700-GU,FID-DE-05,PL-Delta,2024-06-01,27,,False,54.0,53,1.0,1.8867924528301887,fitted,"(0,1,0)",136.09261335370462
DE06-2144-YZ,FID-DE-06,PL-Delta,2023-04-01,15,,False,,88,,,insufficient_history,N/A,
DE06-2144-YZ,FID-DE-06,PL-Delta,2023-05-01,15,,False,,144,,,insufficient_history,N/A,
DE06-2144-YZ,FID-DE-06,PL-Delta,2023-06-01,15,,False,,153,,,insufficient_history,N/A,
DE06-4870-OS,FID-DE-06,PL-Delta,2024-10-01,15,15.0,False,,158,,,insufficient_history,N/A,
