part_number,functional_id,product_line,active_from,active_to
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-07-01,current
AL12-4532-VU,FID-AL-12,PL-Alpha,2022-01-01,2023-04-01
AL12-3957-FA,FID-AL-12,PL-Alpha,2023-05-01,current
BE01-4781-IG,FID-BE-01,PL-Beta,2022-01-01,2023-11-01
BE01-3767-FY,FID-BE-01,PL-Beta,2023-12-01,2024-05-01
BE01-2281-WI,FID-BE-01,PL-Beta,2024-06-01,current
BE02-7418-RK,FID-BE-02,PL-Beta,2022-01-01,2024-01-01
BE02-6912-XL,FID-BE-02,PL-Beta,2024-02-01,current
BE03-3716-GG,FID-BE-03,PL-Beta,2022-01-01,2022-09-01
BE03-5079-OG,FID-BE-03,PL-Beta,2022-10-01,2023-07-01
BE03-9667-PX,FID-BE-03,PL-Beta,2023-08-01,current
BE04-3812-KF,FID-BE-04,PL-Beta,2022-01-01,2022-11-01
BE04-1427-ZN,FID-BE-04,PL-Beta,2022-12-01,2023-06-01
BE04-1458-CB,FID-BE-04,PL-Beta,2023-07-01,current
BE05-5798-CQ,FID-BE-05,PL-Beta,2022-01-01,2022-04-01
BE05-6571-UK,FID-BE-05,PL-Beta,2022-05-01,2023-05-01
BE05-5119-BJ,FID-BE-05,PL-Beta,2023-06-01,2024-02-01
BE05-2464-ZN,FID-BE-05,PL-Beta,2024-03-01,current
BE06-1454-ZW,FID-BE-06,PL-Beta,2022-01-01,2023-12-01
BE06-5024-AS,FID-BE-06,PL-Beta,2024-01-01,current
BE07-7294-RN,FID-BE-07,PL-Beta,2022-01-01,2022-06-01
BE07-8789-GQ,FID-BE-07,PL-Beta,2022-07-01,2024-01-01
BE07-8749-CL,FID-BE-07,PL-Beta,2024-02-01,current
BE08-3652-LY,FID-BE-08,PL-Beta,2022-01-01,2022-07-01
BE08-3813-WG,FID-BE-08,PL-Beta,2022-08-01,current
BE09-3664-NE,FID-BE-09,PL-Beta,2022-01-01,2022-10-01
BE09-2451-XW,FID-BE-09,PL-Beta,2022-11-01,current
BE10-1020-HQ,FID-BE-10,PL-Beta,2022-01-01,2022-12-01
BE10-5973-PD,FID-BE-10,PL-Beta,2023-01-01,current
BE11-2181-TO,FID-BE-11,PL-Beta,2022-01-01,2023-10-01
BE11-6899-UN,FID-BE-11,PL-Beta,2023-11-01,current
BE12-9802-AI,FID-BE-12,PL-Beta,2022-01-01,2024-06-01
BE12-1188-AY,FID-BE-12,PL-Beta,2024-07-01,current
GA01-3655-WV,FID-GA-01,PL-Gamma,2022-01-01,2023-06-01
GA01-7174-HB,FID-GA-01,PL-Gamma,2023-07-01,current
GA02-7639-WY,FID-GA-02,PL-Gamma,2022-01-01,2022-05-01
GA02-6287-CM,FID-GA-02,PL-Gamma,2022-06-01,2023-03-01
GA02-3316-BT,FID-GA-02,PL-Gamma,2023-04-01,current
GA03-5053-TD,FID-GA-03,PL-Gamma,2022-01-01,2022-07-01
GA03-6076-MO,FID-GA-03,PL-Gamma,2022-08-01,2023-06-01
GA03-6753-GW,FID-GA-03,PL-Gamma,2023-07-01,current
GA04-1397-LF,FID-GA-04,PL-Gamma,2022-01-01,2023-04-01
GA04-2889-OS,FID-GA-04,PL-Gamma,2023-05-01,current
GA05-2633-FI,FID-GA-05,PL-Gamma,2022-01-01,2024-02-01
GA05-6375-ZQ,FID-GA-05,PL-Gamma,2024-03-01,current
GA06-2065-LN,FID-GA-06,PL-Gamma,2022-01-01,2022-07-01
GA06-8929-DF,FID-GA-06,PL-Gamma,2022-08-01,current
GA07-1042-IP,FID-GA-07,PL-Gamma,2022-01-01,2022-07-01
GA07-8511-FF,FID-GA-07,PL-Gamma,2022-08-01,2024-01-01
GA07-9431-BQ,FID-GA-07,PL-Gamma,2024-02-01,current
GA08-9793-FX,FID-GA-08,PL-Gamma,2022-01-01,2023-01-01
GA08-1365-WB,FID-GA-08,PL-Gamma,2023-02-01,2023-10-01
GA08-3127-GR,FID-GA-08,PL-Gamma,2023-11-01,current
GA09-6499-FD,FID-GA-09,PL-Gamma,2022-01-01,2022-10-01
GA09-1457-YO,FID-GA-09,PL-Gamma,2022-11-01,2023-07-01
GA09-6380-MU,FID-GA-09,PL-Gamma,2023-08-01,2024-07-01
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-08-01,current
GA10-3774-CL,FID-GA-10,PL-Gamma,2022-01-01,2022-11-01
GA10-4441-LM,FID-GA-10,PL-Gamma,2022-12-01,current
GA11-7415-SR,FID-GA-11,PL-Gamma,2022-01-01,2023-06-01
GA11-3026-ZC,FID-GA-11,PL-Gamma,2023-07-01,2024-03-01
GA11-2770-KI,FID-GA-11,PL-Gamma,2024-04-01,current
GA12-2871-WG,FID-GA-12,PL-Gamma,2022-01-01,2023-01-01
GA12-9077-EL,FID-GA-12,PL-Gamma,2023-02-01,2024-04-01
GA12-5669-KH,FID-GA-12,PL-Gamma,2024-05-01,current
DE01-4534-GY,FID-DE-01,PL-Delta,2022-01-01,2022-09-01
DE01-9255-LW,FID-DE-01,PL-Delta,2022-10-01,current
DE02-3556-OB,FID-DE-02,PL-Delta,2022-01-01,2023-03-01
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-04-01,2023-09-01
DE02-8089-ZY,FID-DE-02,PL-Delta,2023-10-01,current
DE03-9741-WE,FID-DE-03,PL-Delta,2022-01-01,2023-01-01
DE03-6206-MF,FID-DE-03,PL-Delta,2023-02-01,current
DE04-6596-KB,FID-DE-04,PL-Delta,2022-01-01,2022-10-01
DE04-5006-JZ,FID-DE-04,PL-Delta,2022-11-01,current
DE05-9700-GU,FID-DE-05,PL-Delta,2022-01-01,2024-06-01
DE05-2506-LK,FID-DE-05,PL-Delta,2024-07-01,current
DE06-2144-YZ,FID-DE-06,PL-Delta,2022-01-01,2023-06-01
DE06-4870-OS,FID-DE-06,PL-Delta,2023-07-01,current
DE07-5892-EH,FID-DE-07,PL-Delta,2022-01-01,2022-04-01
DE07-6795-ZP,FID-DE-07,PL-Delta,2022-05-01,2023-01-01
DE07-3228-OT,FID-DE-07,PL-Delta,2023-02-01,current
DE08-2975-BP,FID-DE-08,PL-Delta,2022-01-01,2022-04-01
DE08-7553-NW,FID-DE-08,PL-Delta,2022-05-01,2023-01-01
DE08-5174-EY,FID-DE-08,PL-Delta,2023-02-01,2024-07-01
DE08-6337-CE,FID-DE-08,PL-Delta,2024-08-01,current
DE09-3957-PR,FID-DE-09,PL-Delta,2022-01-01,2023-02-01
DE09-6861-GD,FID-DE-09,PL-Delta,2023-03-01,current
DE10-1816-XG,FID-DE-10,PL-Delta,2022-01-01,2022-05-01
DE10-5929-PQ,FID-DE-10,PL-Delta,2022-06-01,current
DE11-5397-KP,FID-DE-11,PL-Delta,2022-01-01,2023-11-01
DE11-4073-NY,FID-DE-11,PL-Delta,2023-12-01,2024-07-01
DE11-5740-FS,FID-DE-11,PL-Delta,2024-08-01,current
DE12-8192-GK,FID-DE-12,PL-Delta,2022-01-01,2023-10-01
DE12-8224-RH,FID-DE-12,PL-Delta,2023-11-01,current
